partition_row_number,customer_id,customer_status,churn_category,churn_reason
1,8473-VUVJN,Churned,Attitude,"Attitude of service provider"
2,8699-ASUFO,Churned,Attitude,"Attitude of service provider"
3,8519-QJGJD,Churned,Attitude,"Attitude of service provider"
4,7216-EWTRS,Churned,Attitude,"Attitude of service provider"
5,5931-FLJJF,Churned,Attitude,"Attitude of service provider"
6,7180-PISOG,Churned,Attitude,"Attitude of service provider"
7,6275-YDUVO,Churned,Attitude,"Attitude of service provider"
8,6457-GIRWB,Churned,Attitude,"Attitude of service provider"
9,7181-BQYBV,Churned,Attitude,"Attitude of service provider"
10,7893-IXHRQ,Churned,Attitude,"Attitude of service provider"
11,8066-POXGX,Churned,Attitude,"Attitude of service provider"
12,7632-MNYOY,Churned,Attitude,"Attitude of service provider"
13,6372-RFVNS,Churned,Attitude,"Attitude of service provider"
14,8267-ZNYVZ,Churned,Attitude,"Attitude of service provider"
15,6305-YLBMM,Churned,Attitude,"Attitude of service provider"
16,6899-PPEEA,Churned,Attitude,"Attitude of service provider"
17,6204-IEUXJ,Churned,Attitude,"Attitude of service provider"
18,6326-MTTXK,Churned,Attitude,"Attitude of service provider"
19,7547-EKNFS,Churned,Attitude,"Attitude of service provider"
20,7136-RVDTZ,Churned,Attitude,"Attitude of service provider"
21,6108-OQZDQ,Churned,Attitude,"Attitude of service provider"
22,6664-FPDAC,Churned,Attitude,"Attitude of service provider"
23,8051-HJRLT,Churned,Attitude,"Attitude of service provider"
24,6595-COKXZ,Churned,Attitude,"Attitude of service provider"
25,6927-WTFIV,Churned,Attitude,"Attitude of service provider"
26,5906-CVLHP,Churned,Attitude,"Attitude of service provider"
27,6857-VWJDT,Churned,Attitude,"Attitude of service provider"
28,8182-BJDSI,Churned,Attitude,"Attitude of service provider"
29,6502-HCJTI,Churned,Attitude,"Attitude of service provider"
30,5876-HZVZM,Churned,Attitude,"Attitude of service provider"
31,5868-CZJDR,Churned,Attitude,"Attitude of service provider"
32,8337-MSSXB,Churned,Attitude,"Attitude of service provider"
33,7938-OUHIO,Churned,Attitude,"Attitude of service provider"
34,6615-ZGEDR,Churned,Attitude,"Attitude of service provider"
35,2495-INZWQ,Churned,Attitude,"Attitude of service provider"
36,0125-LZQXK,Churned,Attitude,"Attitude of service provider"
37,0330-IVZHA,Churned,Attitude,"Attitude of service provider"
38,0886-QGENL,Churned,Attitude,"Attitude of service provider"
39,1984-FCOWB,Churned,Attitude,"Attitude of service provider"
40,1496-GGSUK,Churned,Attitude,"Attitude of service provider"
41,0362-ZBZWJ,Churned,Attitude,"Attitude of service provider"
42,0601-WZHJF,Churned,Attitude,"Attitude of service provider"
43,1265-XTECC,Churned,Attitude,"Attitude of service provider"
44,1320-HTRDR,Churned,Attitude,"Attitude of service provider"
45,0363-QJVFX,Churned,Attitude,"Attitude of service provider"
46,2842-JTCCU,Churned,Attitude,"Attitude of service provider"
47,1400-MMYXY,Churned,Attitude,"Attitude of service provider"
48,2642-DTVCO,Churned,Attitude,"Attitude of service provider"
49,1143-NMNQJ,Churned,Attitude,"Attitude of service provider"
50,2575-GFSOE,Churned,Attitude,"Attitude of service provider"
51,2514-GINMM,Churned,Attitude,"Attitude of service provider"
52,2320-JRSDE,Churned,Attitude,"Attitude of service provider"
53,0156-FVPTA,Churned,Attitude,"Attitude of service provider"
54,2237-ZFSMY,Churned,Attitude,"Attitude of service provider"
55,0115-TFERT,Churned,Attitude,"Attitude of service provider"
56,0637-YLETY,Churned,Attitude,"Attitude of service provider"
57,2207-OBZNX,Churned,Attitude,"Attitude of service provider"
58,2187-LZGPL,Churned,Attitude,"Attitude of service provider"
