customer_id,city
0002-ORFBO,"Frazier Park"
0003-MKNFE,Glendale
0004-TLHLJ,"Costa Mesa"
0011-IGKFF,Martinez
0013-EXCHZ,Camarillo
0013-MHZWF,Midpines
0013-SMEOE,Lompoc
0014-BMAQU,Napa
0015-UOCOJ,"Simi Valley"
0016-QLJIS,Sheridan
0017-DINOC,"Rancho Santa Fe"
0017-IUDMW,Sunnyvale
0018-NYROU,Antelope
0019-EFAEP,"La Mesa"
0019-GFNTW,"Los Olivos"
0020-INWCK,Woodlake
0020-JDNXP,"Point Reyes Station"
0021-IKXGC,"San Marcos"
0022-TCJCI,"Daly City"
0023-HGHWL,"Morgan Hill"
0023-UYUPN,Ahwahnee
0023-XUOPT,"Carnelian Bay"
0027-KWYKW,Alpaugh
0030-FNXPP,Keeler
0031-PVLZI,Korbel
0032-PGELS,"Palomar Mountain"
0036-IHMOT,Parlier
0040-HALCW,Modesto
0042-JVWOJ,"Glen Ellen"
0042-RLHYP,Eureka
0048-LUMLS,"Moss Beach"
0048-PIHNL,"Los Angeles"
0052-DCKON,"Los Angeles"
0052-YNYOT,Calexico
0056-EPFBG,Redding
0057-QBUQH,"San Martin"
0058-EVZWM,Stockton
0060-FUALY,"Los Angeles"
0064-SUDOG,"Huntington Park"
0064-YIJGF,Yermo
0067-DKWBL,"San Diego"
0068-FIGTF,Fremont
0071-NDAFP,"Santa Rosa"
0074-HDKDG,"San Jose"
0076-LVEPS,Tujunga
0078-XZMHT,Visalia
0080-EMYVY,Lodi
0080-OROZO,"El Portal"
0082-LDZUE,Calistoga
0082-OQIQY,Farmington
0083-PIVIK,Tulelake
0089-IIQKO,Coleville
0093-EXYQL,Ojai
0093-XWZFY,"Desert Hot Springs"
0094-OIFMO,"North Hollywood"
0096-BXERS,Inverness
0096-FCPUF,"Santa Rosa"
0098-BOWSO,"San Jose"
0100-DUVFC,Wilmington
0103-CSITQ,Modesto
0104-PPXDV,"San Diego"
0106-GHRQR,"Rancho Palos Verdes"
0106-UGRDO,Kenwood
0107-WESLM,"West Point"
0107-YHINA,"Los Angeles"
0111-KLBQG,"Morongo Valley"
0112-QAWRZ,"Palo Verde"
0112-QWPNC,Valyermo
0114-IGABW,Cambria
0114-PEGZZ,"Round Mountain"
0114-RSRRW,Klamath
0115-TFERT,Fresno
0117-LFRMW,Angwin
0118-JPNOY,"Le Grand"
0121-SNYRK,Redway
0122-OAHPZ,"San Diego"
0123-CRBRT,"Monterey Park"
0125-LZQXK,"Big Oak Flat"
0128-MKWSG,"Stevenson Ranch"
0129-KPTWJ,"North Highlands"
0129-QMPDR,"La Puente"
0130-SXOUN,Glenhaven
0133-BMFZO,Alhambra
0134-XWXCE,"Santa Monica"
0135-NMXAP,Lodi
0136-IFMYD,"Los Angeles"
0137-OCGAB,Fairfield
0137-UDEUO,Stockton
0139-IVFJG,Temecula
0141-YEAYS,Fallbrook
0142-GVYSN,Randsburg
0147-ESWWR,Atascadero
0148-DCDOS,Planada
0151-ONTOV,Moorpark
0156-FVPTA,Solvang
0164-APGRB,Calistoga
0164-XAIRP,"La Mirada"
0168-XZKBB,Boron
0174-QRVVY,"San Marcos"
0177-PXBAT,"Desert Center"
0178-CIIKR,"Crows Landing"
0178-SZBHO,Tuolumne
0181-RITDD,"San Diego"
0186-CAERR,Auburn
0187-QSXOE,Fresno
0187-WZNAB,"Del Rey"
0188-GWFLE,"Redwood City"
0191-EQUUH,Landers
0191-ZHSKZ,Hawthorne
0193-ESZXP,Oceano
0195-IESCP,Armona
0196-JTUQI,Clarksburg
0196-VULGZ,Irvine
0197-PNKNK,"Scotts Valley"
0201-MIBOL,Salida
0201-OAMXR,Mckinleyville
0203-HHYIJ,Atherton
0206-OYVOC,"Huntington Beach"
0206-TBWLC,Calimesa
0207-MDKNV,"Daly City"
0208-BPQEJ,Middletown
0212-ISBBF,Berkeley
0214-JHPFW,"Lost Hills"
0215-BQKGS,"Garden Grove"
0218-QNVAS,Indio
0219-QAERP,Oxnard
0219-YTZUE,"San Diego"
0220-EBGCE,Escondido
0221-NAUXK,"Moreno Valley"
0221-WMXNQ,Chino
0222-CNVPT,Sacramento
0224-HJAPT,"San Diego"
0224-NIJLP,Turlock
0224-RLWWD,Calexico
0225-ZORZP,Groveland
0228-MAUWC,"Los Gatos"
0229-LFJAF,Clovis
0230-UBYPQ,Hyampom
0230-WEQUW,"Woodland Hills"
0231-LXVAP,Temecula
0233-FTHAV,Livingston
0234-TEVTT,Tulare
0235-KGSLC,Buellton
0236-HFWSV,Palmdale
0237-YFUTL,"Midway City"
0238-WHBIQ,Folsom
0239-OXEXL,Oakland
0244-LGNFY,"San Anselmo"
0247-SLUJI,Duarte
0248-IPDFW,"Lake Elsinore"
0248-PGHBZ,"San Clemente"
0253-ZTEOB,"Los Angeles"
0254-FNMCI,Downey
0254-KCJGT,"Bodega Bay"
0254-WWRKD,Challenge
0256-LTHVJ,Ludlow
0257-KXZGU,"Santa Clara"
0257-ZESQC,Perris
0258-NOKBL,Fortuna
0259-GBZSH,"San Diego"
0260-ZDLGK,"San Dimas"
0263-FJTQO,Rescue
0264-CNITK,Clio
0265-EDXBD,"San Diego"
0265-PSUAE,Lotus
0266-CLZKZ,"San Marcos"
0266-GMEAO,Lompoc
0268-QKIWO,"Pilot Hill"
0269-XFESX,"San Francisco"
0270-THENM,"Mission Hills"
0274-JKUJR,"Los Angeles"
0277-BKSQP,"Harbor City"
0277-ORXQS,"San Francisco"
0278-YXOOG,Inglewood
0280-XJGEX,"Los Angeles"
0281-CNTZX,Pescadero
0282-NVSJS,Aromas
0285-INHLN,Badger
0289-IVARM,Parlier
0292-WEGCH,"Death Valley"
0295-PPHDO,"La Puente"
0295-QVKPB,Riverdale
0297-RBCSG,"San Francisco"
0298-XACET,"Berry Creek"
0301-FIDRB,Fulton
0301-KOBTQ,Capitola
0302-JOIVN,"San Diego"
0303-UNCIP,Claremont
0303-WMMRN,Glendale
0305-SQECB,Gardena
0306-JAELE,Fallbrook
0307-BCOPK,"San Francisco"
0308-GIQJT,"San Diego"
0308-IVGOK,"Santa Ana"
0310-MVLET,Snelling
0310-SUCIN,Darwin
0310-VQXAM,"San Bernardino"
0311-QYWSS,Garberville
0311-UNPFF,"Long Beach"
0314-TKOSI,Upland
0315-LVCRK,"El Dorado Hills"
0318-QUUOB,"Santa Rosa"
0318-ZOPWS,Malibu
0319-QZTCO,"Santa Rosa"
0320-DWVTU,Riverdale
0320-JDNQG,Oxnard
0322-CHQRU,Palmdale
0322-YINQP,Covina
0323-XWWTN,"San Lucas"
0324-BRPCJ,Palmdale
0325-XBFAC,Hoopa
0326-VDYXE,"Long Beach"
0327-WFZSY,Samoa
0328-GRPMV,"Burnt Ranch"
0329-GTIAJ,"Garden Grove"
0330-BGYZE,Milford
0330-IVZHA,Anderson
0334-GDDSO,"San Diego"
0334-ZFJSR,"San Diego"
0336-KXKFK,"Santa Margarita"
0336-PIKEI,Orange
0337-CNPZE,"Los Angeles"
0343-QLUZP,"San Jose"
0345-HKJVM,"San Diego"
0345-XMMUG,Ione
0347-UBKUZ,"San Mateo"
0348-SDKOL,"San Diego"
0354-VXMJC,"Los Angeles"
0354-WYROK,"San Francisco"
0356-ERHVT,"Santa Cruz"
0356-OBMAC,Winchester
0357-NVCRI,"El Cajon"
0361-HJRDX,"Sherman Oaks"
0362-RAOQO,Norco
0362-ZBZWJ,Thornton
0363-QJVFX,"Lake Hughes"
0363-SVHYR,Paramount
0365-BZUWY,"San Juan Capistrano"
0365-GXEZS,Copperopolis
0365-TRTPY,Covina
0366-NQSHS,Colusa
0369-ZGOVK,Cypress
0373-AIVNJ,Sacramento
0374-AACSZ,Lancaster
0374-FIUCA,Orange
0374-IOEGQ,Gonzales
0375-HVGXO,"Los Angeles"
0376-OIWME,"San Ysidro"
0376-YMCJC,Novato
0377-JBKKT,Gilroy
0378-CJKPV,"Oak Park"
0378-NHQXU,"South San Francisco"
0378-TOVMS,Vernalis
0378-XSZPU,"San Jose"
0379-DJQHR,Sunnyvale
0380-NEAVX,"Newport Beach"
0380-ZCSBI,"San Francisco"
0383-CLDDA,Stanford
0384-LPITE,"Los Angeles"
0384-RVBPI,Turlock
0386-CWRGM,"Beverly Hills"
0388-EOPEX,Riverside
0390-DCFDQ,"Los Alamitos"
0392-BZIUW,Fresno
0394-YONDK,Escondido
0396-HUJBP,Gardena
0396-UKGAI,Encinitas
0396-YCHWO,Sacramento
0397-GZBBC,"South Dos Palos"
0397-ZXWQF,Orick
0401-WDBXM,"San Jose"
0402-CQAJN,"El Monte"
0402-OAMEN,Spreckels
0404-AHASP,"Beverly Hills"
0404-SWRVG,"La Habra"
0406-BPDVR,Visalia
0407-BDJKB,"San Francisco"
0409-WTMPL,Whittier
0410-IPFTY,"Long Beach"
0411-EZJZE,Stockton
0412-UCCNP,Essex
0415-MOSGF,"Los Gatos"
0419-YAAPX,"Grass Valley"
0420-BWTPW,"San Diego"
0420-HLGXF,Visalia
0420-TXVSG,"San Jose"
0422-OHQHQ,Fresno
0422-UXFAP,"San Diego"
0423-UDIJQ,Snelling
0426-TIRNE,Encino
0428-AXXLJ,Bellflower
0428-IKYCP,Sonora
0430-IHCDJ,Highland
0431-APWVY,Novato
0432-CAJZV,Temecula
0434-CSFON,"Los Angeles"
0436-TWFFZ,"Long Beach"
0439-IFYUN,Escondido
0440-EKDCF,Herlong
0440-MOGPM,Petaluma
0440-QEXBZ,Mojave
0440-UEDAI,Callahan
0442-TDYUO,Bodega
0442-ZXKVS,Denair
0447-BEMNG,Wrightwood
0447-RXSGD,Monterey
0454-OKRCT,"Palo Alto"
0455-ENTCR,Jamestown
0455-XFASS,Campbell
0458-HEUZG,Alderpoint
0459-SPZHJ,"Garden Grove"
0461-CVKMU,"Oak Run"
0463-TXOAK,Madison
0463-WZZKO,"Van Nuys"
0463-ZSDNT,Escondido
0464-WJTKO,Cedarville
0468-YRPXN,Lomita
0471-ARVMX,Kelseyville
0471-LVHGK,Orangevale
0475-RIJEP,Pinecrest
0479-HMSWA,"San Clemente"
0480-BIXDE,"Beale Afb"
0480-KYJVA,Sacramento
0481-SUMCB,Greenville
0484-FFVBJ,"Fort Bragg"
0484-JPBRU,Petaluma
0485-ZBSLN,Mecca
0486-HECZI,Torrance
0486-LGCCH,Victorville
0487-CRLZF,Poway
0487-RPVUM,"Mount Hermon"
0487-VVUVK,"Santa Barbara"
0488-GSLFR,Taylorsville
0489-WMEMG,Korbel
0491-KAPQG,"Pine Valley"
0495-RVCBF,"Santa Rosa"
0495-ZBNGW,"Loma Mar"
0496-AHOOK,Bangor
0504-HHAPI,Guinda
0505-SPOOW,Riverside
0506-LVNGN,"Rancho Cordova"
0506-YLVKJ,Sultana
0508-OOLTO,"Fort Irwin"
0508-SQWPL,"La Mesa"
0511-JTEOY,"Canyon Dam"
0512-FLFDW,"Palomar Mountain"
0513-RBGPE,"Rancho Santa Fe"
0515-YPMCW,"San Jose"
0516-OOHAR,Topanga
0516-QREYC,Capay
0516-UXRMT,Oxnard
0516-VRYBW,Stanton
0516-WJVXC,Sacramento
0519-DRGTI,Stockton
0519-XUZJU,Felton
0520-FDVVT,Lewiston
0523-VNGTF,"Sun Valley"
0524-IAVZO,Anza
0526-SXDJP,Bell
0529-ONKER,"Forest Ranch"
0530-IJVDB,Jamul
0531-XBKMM,Azusa
0531-ZZJWQ,Fallbrook
0533-BNWKF,"San Diego"
0533-UCAAU,"Montgomery Creek"
0536-ACXIP,Lodi
0536-BGFMZ,Leggett
0536-ESJEP,"Rough And Ready"
0537-QYZZN,Petaluma
0541-FITGH,Hornitos
0547-HURJB,Dixon
0549-CYCQN,Flournoy
0550-DCXLH,Thermal
0556-FJEGU,Lafayette
0557-ASKVU,"Beverly Hills"
0559-CKHUS,Pleasanton
0562-FGDCR,Whitmore
0562-HKHML,Alameda
0562-KBDVM,Herald
0564-JJHGS,Guerneville
0564-MUUQK,"Imperial Beach"
0565-IYCGT,"San Diego"
0565-JUPYD,Benicia
0567-GGCAC,Biola
0567-XRHCU,"Los Angeles"
0568-ONFPC,"San Francisco"
0570-BFQHT,Anderson
0572-ZJKLT,Chester
0575-CUQOV,Hilmar
0576-WNXXC,Parlier
0577-WHMEV,"San Jose"
0578-SKVMF,Seeley
0580-PIQHM,Riverside
0581-BXBUB,"Penn Valley"
0581-MDMPW,"San Jose"
0582-AVCLN,Bakersfield
0584-BJQGZ,Taylorsville
0585-EGDDA,Etna
