partition_row_number,customer_id,contract_type,"tenure (months)"
1,9787-XVQIU,Month-to-Month,1
2,9564-KCLHR,Month-to-Month,1
3,9885-CSMWE,Month-to-Month,1
4,9732-KPKBW,Month-to-Month,1
5,9962-BFPDU,Month-to-Month,1
6,9605-WGJVW,Month-to-Month,1
7,9728-FTTVZ,Month-to-Month,1
8,9804-ICWBG,Month-to-Month,1
9,9300-AGZNL,Month-to-Month,1
10,9300-RENDD,Month-to-Month,1
11,9725-SCPZG,Month-to-Month,1
12,9661-MHUMO,Month-to-Month,1
13,9507-EXLTT,Month-to-Month,1
14,9940-RHLFB,Month-to-Month,1
15,9708-KFDBY,Month-to-Month,1
16,9497-QCMMS,Month-to-Month,1
17,9488-HGMJH,Month-to-Month,1
18,9840-EFJQB,Month-to-Month,1
19,9399-APLBT,Month-to-Month,1
20,9318-NKNFC,Month-to-Month,1
21,9753-OYLBX,Month-to-Month,1
22,9828-AOQLM,Month-to-Month,1
23,9752-ZNQUT,Month-to-Month,1
24,9747-DDZOS,Month-to-Month,1
25,9514-JDSKI,Month-to-Month,1
26,9374-YOLBJ,Month-to-Month,1
27,9822-OAOVB,Month-to-Month,1
28,9441-QHEVC,Month-to-Month,1
29,9907-SWKKF,Month-to-Month,1
30,9444-JTXHZ,Month-to-Month,1
31,9637-EIHEQ,Month-to-Month,1
32,9537-VHDTA,Month-to-Month,1
33,9895-VFOXH,Month-to-Month,1
34,9894-EZEWG,Month-to-Month,1
35,9526-BIHHD,Month-to-Month,1
36,9448-REEVD,Month-to-Month,1
37,9629-NHXFW,Month-to-Month,1
38,9985-MWVIX,Month-to-Month,1
39,9975-SKRNR,Month-to-Month,1
40,9617-INGJY,Month-to-Month,1
41,4102-OQUPX,Month-to-Month,1
42,1941-HOSAM,Month-to-Month,1
43,1612-EOHDH,Month-to-Month,1
44,2740-TVLFN,Month-to-Month,1
45,1496-GGSUK,Month-to-Month,1
46,1493-AMTIE,Month-to-Month,1
47,1622-HSHSF,Month-to-Month,1
48,2232-DMLXU,Month-to-Month,1
49,1628-BIZYP,Month-to-Month,1
50,1478-VPOAD,Month-to-Month,1
51,2920-RNCEZ,Month-to-Month,1
52,1471-GIQKQ,Month-to-Month,1
53,1640-PLFMP,Month-to-Month,1
54,4634-JLRJT,Month-to-Month,1
55,1942-OQFRW,Month-to-Month,1
56,2725-KXXWT,Month-to-Month,1
57,2506-TNFCO,Month-to-Month,1
58,0812-WUPTB,Month-to-Month,1
59,1660-HSOOQ,Month-to-Month,1
60,0023-HGHWL,Month-to-Month,1
61,4614-NUVZD,Month-to-Month,1
62,2619-WFQWU,Month-to-Month,1
63,1963-SVUCV,Month-to-Month,1
64,2812-SFXMJ,Month-to-Month,1
65,1455-ESIQH,Month-to-Month,1
66,0032-PGELS,Month-to-Month,1
67,1453-RZFON,Month-to-Month,1
68,4603-JANFB,Month-to-Month,1
69,1663-MHLHE,Month-to-Month,1
70,4588-YBNIB,Month-to-Month,1
71,1452-VOQCH,Month-to-Month,1
72,1448-PWKYE,Month-to-Month,1
73,2722-JMONI,Month-to-Month,1
74,1194-SPVSP,Month-to-Month,1
75,1447-GIQMR,Month-to-Month,1
76,1963-VAUKV,Month-to-Month,1
77,2712-SYWAY,Month-to-Month,1
78,1423-BMPBQ,Month-to-Month,1
79,1976-CFOCS,Month-to-Month,1
80,1977-STDKI,Month-to-Month,1
81,2465-BLLEU,Month-to-Month,1
82,1415-YFWLT,Month-to-Month,1
83,1724-IQWNM,Month-to-Month,1
84,1406-PUQVY,Month-to-Month,1
85,0761-AETCS,Month-to-Month,1
86,3518-PZXZQ,Month-to-Month,1
87,2700-LUEVA,Month-to-Month,1
88,4550-EVXNY,Month-to-Month,1
89,0082-LDZUE,Month-to-Month,1
90,1725-MIMXW,Month-to-Month,1
91,2609-IAICY,Month-to-Month,1
92,2833-SLKDQ,Month-to-Month,1
93,1349-WXNGG,Month-to-Month,1
94,0742-NXBGR,Month-to-Month,1
95,2607-FBDFF,Month-to-Month,1
96,2692-PFYTJ,Month-to-Month,1
97,3841-CONLJ,Month-to-Month,1
98,1740-CSDJP,Month-to-Month,1
99,4661-NJEUX,Month-to-Month,1
100,0927-CNGRH,Month-to-Month,1
101,3506-LCJDC,Month-to-Month,1
102,1157-BQCUW,Month-to-Month,1
103,1156-ZFYDO,Month-to-Month,1
104,0107-WESLM,Month-to-Month,1
105,0107-YHINA,Month-to-Month,1
106,4074-SJFFA,Month-to-Month,1
107,2002-MZHWP,Month-to-Month,1
108,4510-HIMLV,Month-to-Month,1
109,2947-DOMLJ,Month-to-Month,1
110,1393-IMKZG,Month-to-Month,1
111,1746-TGTWV,Month-to-Month,1
112,3276-HDUEG,Month-to-Month,1
113,4501-EQDRN,Month-to-Month,1
114,1000-AJSLD,Month-to-Month,1
115,2004-OCQXK,Month-to-Month,1
116,2320-JRSDE,Month-to-Month,1
117,1761-AEZZR,Month-to-Month,1
118,1363-TXLSL,Month-to-Month,1
119,1768-ZAIFU,Month-to-Month,1
120,2369-FEVNO,Month-to-Month,1
121,0415-MOSGF,Month-to-Month,1
122,1794-HBQTJ,Month-to-Month,1
123,4065-JJAVA,Month-to-Month,1
124,3583-EKAPL,Month-to-Month,1
125,2592-YKDIF,Month-to-Month,1
126,3494-JCHRQ,Month-to-Month,1
127,0137-OCGAB,Month-to-Month,1
128,1334-FJSVR,Month-to-Month,1
129,2480-JZOSN,Month-to-Month,1
130,2777-PHDEI,Month-to-Month,1
131,3334-CTHOL,Month-to-Month,1
132,1135-LMECX,Month-to-Month,1
133,2013-SGDXK,Month-to-Month,1
134,0151-ONTOV,Month-to-Month,1
