customer_id,"tenure (months)",offer,phone_service,multiple_lines,internet_service,internet_type
0002-ORFBO,9,None,Yes,No,Yes,Cable
0003-MKNFE,9,None,Yes,Yes,Yes,Cable
0004-TLHLJ,4,"Offer E",Yes,No,Yes,"Fiber Optic"
0011-IGKFF,13,"Offer D",Yes,No,Yes,"Fiber Optic"
0013-EXCHZ,3,None,Yes,No,Yes,"Fiber Optic"
0013-MHZWF,9,"Offer E",Yes,No,Yes,Cable
0013-SMEOE,71,"Offer A",Yes,No,Yes,"Fiber Optic"
0014-BMAQU,63,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0015-UOCOJ,7,"Offer E",Yes,No,Yes,DSL
0016-QLJIS,65,None,Yes,Yes,Yes,Cable
0017-DINOC,54,None,No,No,Yes,Cable
0017-IUDMW,72,None,Yes,Yes,Yes,"Fiber Optic"
0018-NYROU,5,None,Yes,No,Yes,"Fiber Optic"
0019-EFAEP,72,"Offer A",Yes,Yes,Yes,"Fiber Optic"
0019-GFNTW,56,None,No,No,Yes,DSL
0020-INWCK,71,"Offer A",Yes,Yes,Yes,"Fiber Optic"
0020-JDNXP,34,None,No,No,Yes,DSL
0021-IKXGC,1,"Offer E",Yes,Yes,Yes,"Fiber Optic"
0022-TCJCI,45,None,Yes,No,Yes,DSL
0023-HGHWL,1,None,No,No,Yes,Cable
0023-UYUPN,50,None,Yes,Yes,No,None
0023-XUOPT,13,None,Yes,Yes,Yes,"Fiber Optic"
0027-KWYKW,23,"Offer D",Yes,Yes,Yes,"Fiber Optic"
0030-FNXPP,3,None,Yes,No,No,None
0031-PVLZI,4,"Offer E",Yes,No,No,None
0032-PGELS,1,None,No,No,Yes,DSL
0036-IHMOT,55,None,Yes,No,Yes,"Fiber Optic"
0040-HALCW,54,None,Yes,No,No,None
0042-JVWOJ,26,"Offer C",Yes,No,No,None
0042-RLHYP,69,None,Yes,No,No,None
0048-LUMLS,37,"Offer C",Yes,No,Yes,"Fiber Optic"
0048-PIHNL,49,"Offer B",Yes,No,No,None
0052-DCKON,66,None,Yes,Yes,Yes,"Fiber Optic"
0052-YNYOT,67,None,Yes,No,No,None
0056-EPFBG,20,None,No,No,Yes,Cable
0057-QBUQH,43,None,Yes,Yes,No,None
0058-EVZWM,55,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0060-FUALY,59,"Offer B",Yes,Yes,Yes,"Fiber Optic"
0064-SUDOG,12,None,Yes,No,No,None
0064-YIJGF,27,"Offer C",Yes,Yes,Yes,"Fiber Optic"
0067-DKWBL,2,None,Yes,No,Yes,DSL
0068-FIGTF,27,"Offer C",Yes,No,Yes,DSL
0071-NDAFP,25,None,Yes,Yes,No,None
0074-HDKDG,25,None,Yes,No,Yes,Cable
0076-LVEPS,29,None,No,No,Yes,DSL
0078-XZMHT,72,None,Yes,Yes,Yes,DSL
0080-EMYVY,14,None,Yes,No,Yes,Cable
0080-OROZO,35,"Offer C",Yes,No,Yes,"Fiber Optic"
0082-LDZUE,1,"Offer E",Yes,No,Yes,DSL
0082-OQIQY,29,None,Yes,No,Yes,"Fiber Optic"
0083-PIVIK,64,None,Yes,Yes,Yes,DSL
